id,name,party,sector,country,folge
UL,Ursula von der Leyen,CDU,Politik,Deutschland,500
LK,Lars Klingbeil,SPD,Politik,Deutschland,500
NR,Norbert Röttgen,CDU,Politik,Deutschland,500
SW,Sahra Wagenknecht,Linke,Politik,Deutschland,500
CS,Constanze Stelzenmüller,,Juristik,USA,500
CL,Christian Lindner,FDP,Politik,Deutschland,501
NR,Norbert Röttgen,CDU,Politik,Deutschland,501
KS,Karl Schlögel,,Wissenschaft,Deutschland,501
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine,501
KD,Kristina Dunz,,Journalismus,Deutschland,501
EL,Egils Levits,,Politik,Lettland,501
AB,Annalena Baerbock,Grüne,Politik,Deutschland,502
FT,Frans Timmermans,,Politik,Niederlande,502
AM,Andrij Melnyk,,Politik,Ukraine,502
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,502
ER,Egon Ramms,,Bundeswehr,Deutschland,502
RH,Robert Habeck,Grüne,Politik,Deutschland,503
LK,Lars Klingbeil,SPD,Politik,Deutschland,503
CM,Claudia Major,,Wissenschaft,Deutschland,503
KP,Katja Petrowskaja,,Journalismus,Ukraine,503
RK,Roderich Kiesewetter,CDU,Politik,Deutschland,503
